source=/mnt/e/currentWORK/AAA_Project/P3/data/processed/manifest.csv
file_type=.csv

set,instance,customers,omega,alpha,seed,out
A,convrp_12_test_1,12,500,0.8,3850447029,data/processed/omega500/A/convrp_12_test_1__omega500__alpha80.json
A,convrp_12_test_2,12,100,0.2,1384147457,data/processed/omega100/A/convrp_12_test_2__omega100__alpha20.json
A,convrp_12_test_2,12,100,0.5,4219063803,data/processed/omega100/A/convrp_12_test_2__omega100__alpha50.json
A,convrp_12_test_2,12,100,0.8,2453515390,data/processed/omega100/A/convrp_12_test_2__omega100__alpha80.json
A,convrp_12_test_2,12,500,0.2,3215769164,data/processed/omega500/A/convrp_12_test_2__omega500__alpha20.json
A,convrp_12_test_2,12,500,0.5,3595014733,data/processed/omega500/A/convrp_12_test_2__omega500__alpha50.json
A,convrp_12_test_2,12,500,0.8,1164757418,data/processed/omega500/A/convrp_12_test_2__omega500__alpha80.json
A,convrp_12_test_3,12,100,0.2,470191713,data/processed/omega100/A/convrp_12_test_3__omega100__alpha20.json
A,convrp_12_test_3,12,100,0.5,356123311,data/processed/omega100/A/convrp_12_test_3__omega100__alpha50.json
A,convrp_12_test_3,12,100,0.8,2402856471,data/processed/omega100/A/convrp_12_test_3__omega100__alpha80.json
A,convrp_12_test_3,12,500,0.2,363571867,data/processed/omega500/A/convrp_12_test_3__omega500__alpha20.json
A,convrp_12_test_3,12,500,0.5,1704893767,data/processed/omega500/A/convrp_12_test_3__omega500__alpha50.json
A,convrp_12_test_3,12,500,0.8,1945611453,data/processed/omega500/A/convrp_12_test_3__omega500__alpha80.json
A,convrp_12_test_4,12,100,0.2,225514828,data/processed/omega100/A/convrp_12_test_4__omega100__alpha20.json
